25,उदञ्च्,उत्तरी,पुंलिंग,हलन्त,,उदङ्,उदञ्चौ,उदञ्चः,उदञ्चम्,उदञ्चौ,उदीचः,उदीचा,उदग्भ्याम्,उदग्भिः,उदीचे,उदग्भ्याम्,उदग्भ्यः,उदीचः,उदग्भ्याम्,उदग्भ्यः,उदीचः,उदीचोः,उदीचाम्,उदीचि,उदीचोः,उदक्षु
25,प्राञ्च्,पूर्वी,पुंलिंग,हलन्त,,प्राङ्,प्राञ्चौ,प्राञ्चः,प्राञ्चम्,प्राञ्चौ,प्राचः,प्राचा,प्राग्भ्याम्,प्राग्भिः,प्राचे,प्राग्भ्याम्,प्राग्भ्यः,प्राचः,प्राग्भ्याम्,प्राग्भ्यः,प्राचः,प्राचोः,प्राचाम्,प्राचि,प्राचोः,प्राक्षु
26,पयोमुच्,बादल,पुंलिंग,हलन्त,,पयोमुक्,पयोमुचौ,पयोमुचः,पयोमुचम्,पयोमुचौ,पयोमुचः,पयोमुचा,पयोमुग्भ्याम्,पयोमुग्भिः,पयोमुचे,पयोमुग्भ्याम्,पयोमुग्भ्यः,पयोमुचः,पयोमुग्भ्याम्,पयोमुग्भ्यः,पयोमुचः,पयोमुचोः,पयोमुचाम्,पयोमुचि,पयोमुचोः,पयोमुक्षु
26,वणिज्,बनिया,पुंलिंग,हलन्त,,वणिक्,वणिजौ,वणिजः,वणिजम्,वणिजौ,वणिजः,वणिजा,वणिग्भ्याम्,वणिग्भिः,वणिजे,वणिग्भ्याम्,वणिग्भ्यः,वणिजः,वणिग्भ्याम्,वणिग्भ्यः,वणिजः,वणिजोः,वणिजाम्,वणिजि,वणिजोः,वणिक्षु
27,भूभृत्,"राजा, पर्वत",पुंलिंग,हलन्त,,भूभृत्,भूभृतौ,भूभृतः,भूभृतम्,भूभृतौ,भूभृतः,भूभृता,भूभृद्भ्याम्,भूभृद्भिः,भूभृते,भूभृद्भ्याम्,भूभृद्भ्यः,भूभृतः,भूभृद्भ्याम्,भूभृद्भ्यः,भूभृतः,भूभृतोः,भूभृताम्,भूभृति,भूभृतोः,भूभृत्सु
28,भगवत्,भगवान्,पुंलिंग,हलन्त,,भगवान्,भगवन्तौ,भगवन्तः,भगवन्तम्,भगवन्तौ,भगवतः,भगवता,भगवद्भ्याम्,भगवद्भिः,भगवते,भगवद्भ्याम्,भगवद्भ्यः,भगवतः,भगवद्भ्याम्,भगवद्भ्यः,भगवतः,भगवतोः,भगवताम्,भगवति,भगवतोः,भगवत्सु
28,धीमत्,बुद्धिमान्,पुंलिंग,हलन्त,,धीमान्,धीमन्तौ,धीमन्तः,धीमन्तम्,धीमन्तौ,धीमतः,धीमता,धीमद्भ्याम्,धीमद्भिः,धीमते,धीमद्भ्याम्,धीमद्भ्यः,धीमतः,धीमद्भ्याम्,धीमद्भ्यः,धीमतः,धीमतोः,धीमताम्,धीमति,धीमतोः,धीमत्सु
29,महत्,महान्,पुंलिंग,हलन्त,,महान्,महान्तौ,महान्तः,महान्तम्,महान्तौ,महतः,महता,महद्भ्याम्,महद्भिः,महते,महद्भ्याम्,महद्भ्यः,महतः,महद्भ्याम्,महद्भ्यः,महतः,महतोः,महताम्,महति,महतोः,महत्सु
29,भवत्,आप,पुंलिंग,हलन्त,स्त्रीलिंग में भवती के रूप नदीवत् चलेंगे ।,भवान्,भवन्तौ,भवन्तः,भवन्तम्,भवन्तौ,भवतः,भवता,भवद्भ्याम्,भवद्भिः,भवते,भवद्भ्याम्,भवद्भ्यः,भवतः,भवद्भ्याम्,भवद्भ्यः,भवतः,भवतोः,भवताम्,भवति,भवतोः,भवत्सु
30,पठत्,पढ़ता हुआ,पुंलिंग,हलन्त,,पठन्,पठन्तौ,पठन्तः,पठन्तम्,पठन्तौ,पठतः,पठता,पठद्भ्याम्,पठद्भिः,पठते,पठद्भ्याम्,पठद्भ्यः,पठतः,पठद्भ्याम्,पठद्भ्यः,पठतः,पठतोः,पठताम्,पठति,पठतोः,पठत्सु
30,यावत्,जितना,पुंलिंग,हलन्त,,यावान्,यावन्तौ,यावन्तः,यावन्तम्,यावन्तौ,यावतः,यावता,यावद्भ्याम्,यावद्भिः,यावते,यावद्भ्याम्,यावद्भ्यः,यावतः,यावद्भ्याम्,यावद्भ्यः,यावतः,यावतोः,यावताम्,यावति,यावतोः,यावत्सु
31,बुध्,विद्वान्,पुंलिंग,हलन्त,,भुत्,बुधौ,बुधः,बुधम्,बुधौ,बुधः,बुधा,भुद्भ्याम्,भुद्भिः,बुधे,भुद्भ्याम्,भुद्भ्यः,बुधः,भुद्भ्याम्,भुद्भ्यः,बुधः,बुधोः,बुधाम्,बुधि,बुधोः,भुत्सु
32,आत्मन्,आत्मा,पुंलिंग,हलन्त,,आत्मा,आत्मानौ,आत्मानः,आत्मानम्,आत्मानौ,आत्मनः,आत्मना,आत्मभ्याम्,आत्मभिः,आत्मने,आत्मभ्याम्,आत्मभ्यः,आत्मनः,आत्मभ्याम्,आत्मभ्यः,आत्मनः,आत्मनोः,आत्मनाम्,आत्मनि,आत्मनोः,आत्मसु
32,राजन्,राजा,पुंलिंग,हलन्त,,राजा,राजानौ,राजानः,राजानम्,राजानौ,राज्ञः,राज्ञा,राजभ्याम्,राजभिः,राज्ञे,राजभ्याम्,राजभ्यः,राज्ञः,राजभ्याम्,राजभ्यः,राज्ञः,राज्ञोः,राज्ञाम्,राज्ञि/राजनि,राज्ञोः,राजसु
9,इदम् (पुं),यह,पुंलिंग,सर्वनाम,-,अयम्,इमौ,इमे,इमम्,इमौ,इमान्,अनेन,आभ्याम्,एभिः,अस्मै,आभ्याम्,एभ्यः,अस्मात्,आभ्याम्,एभ्यः,अस्य,अनयोः,एषाम्,अस्मिन्,अनयोः,एषु
9,इदम् (नपुं),यह,नपुंसकलिंग,सर्वनाम,-,इदम्,इमे,इमानि,इदम्,इमे,इमानि,अनेन,आभ्याम्,एभिः,अस्मै,आभ्याम्,एभ्यः,अस्मात्,आभ्याम्,एभ्यः,अस्य,अनयोः,एषाम्,अस्मिन्,अनयोः,एषु
